# Naval strategic region ids used by naval_avoid_region, strike_force_home_base
# and naval_convoy_raid_region.
#
# confidence:
#   VANILLA  the id appears in a vanilla 1.14.1 common/ai_strategy file with a
#            comment naming the region — this is ground truth
#   HIGH     eight independent shipped mods name this id identically
#   MEDIUM   six or seven of eight agree (the rest use an internal codename for
#            the same water, e.g. "Mid Atlantic 2" for the Mid Atlantic Gap)
#
# Ids above 207 are omitted unless vanilla itself references them: total-conversion
# mods append their own regions from there and the numbering stops being portable.
id,name,confidence,theatre,note
94,Mariana Region,MEDIUM,pacific,
95,West Emperor Chain,MEDIUM,pacific,"Midway; Expert AI avoids it"
96,North Emperor Chain,MEDIUM,pacific,
97,Eastern Micronesia,MEDIUM,pacific,
99,Far Eastern Indian Ocean,MEDIUM,indian,
100,Red Sea,HIGH,indian,
101,Bay of Bengal,HIGH,indian,
102,East African Coast,HIGH,indian,
103,Mozambique Channel,HIGH,indian,
104,Arabian Sea,HIGH,indian,
105,Hawaii Ridge,MEDIUM,pacific,"Pearl Harbor; Expert AI avoids it"
106,Mexican Coast,HIGH,pacific,
110,East Pacific Rise,MEDIUM,pacific,
111,North Central Pacific,MEDIUM,pacific,
112,Far South Pacific,HIGH,pacific,
113,South Central Pacific,MEDIUM,pacific,
114,North Pacific,MEDIUM,pacific,
115,North East Pacific,MEDIUM,pacific,
166,Hudson Bay,HIGH,atlantic,
168,Adriatic Sea,VANILLA,mediterranean,"vanilla ENG.txt #adriatic"
169,Tyrrhenian Sea,HIGH,mediterranean,
170,Florida Coast,HIGH,atlantic,
172,Pacific Line Ridge,MEDIUM,pacific,
173,Eastern North Sea,VANILLA,europe,"vanilla ENG.txt #eastern north sea; German Bight"
174,Norwegian Coast,MEDIUM,europe,"Narvik iron ore route"
175,Central Pacific,MEDIUM,pacific,
176,Central North Pacific,MEDIUM,pacific,
177,Western North Pacific,MEDIUM,pacific,
178,West Polynesia,HIGH,pacific,
179,French Polynesia,MEDIUM,pacific,
180,Micronesian Gap,HIGH,pacific,
202,Aegean Sea,MEDIUM,mediterranean,
203,Persian Gulf,MEDIUM,indian,
206,Lower Baltic Sea,VANILLA,europe,"vanilla ENG.txt #central baltic"
207,Danish Belts,VANILLA,europe,"vanilla ENG.txt #danish belts; the Baltic exit"
279,Gulf of Bothnia,VANILLA,europe,"vanilla ENG.txt #Bothnia (commented out there); Swedish ore ports"
